uid,vid
8941,14
8959,14
8975,14
8993,14
9009,14
9025,14
9041,14
9045,14
9047,15
9065,15
9079,15
9093,15
9105,15
9121,15
9131,15
9147,15
9149,15
9183,15
9193,15
9197,15
9213,15
9225,15
9231,15
9249,15
9263,15
9273,15
9287,15
9299,15
9321,15
9341,15
9355,15
9373,15
9377,15
9391,15
9407,15
9423,15
9437,15
9445,15
9459,15
9475,15
9495,15
9501,15
9517,15
9529,15
9535,15
9539,15
9541,15
9543,15
9545,15
9553,15
9565,15
9571,15
9575,15
9587,15
9597,15
9609,15
9625,15
9627,15
9643,15
9659,15
9675,15
9697,15
9709,15
9731,15
9749,15
9765,15
9781,15
9793,15
9809,15
9813,15
9815,15
9819,15
9823,15
9827,15
9833,15
9839,15
9841,15
9847,15
9851,15
9859,15
9865,15
9867,15
9875,15
9885,15
9893,15
9901,15
9907,15
9909,15
9913,15
9919,15
9925,15
9929,15
9937,15
9943,15
9949,15
9953,15
9957,15
9961,15
9969,15
9975,15
9987,15
9993,15
9999,15
10005,15
10011,15
10019,15
10025,15
10035,15
10041,15
10049,15
10061,15
10067,15
10075,15
10083,15
10089,15
10097,15
10105,15
10109,15
10113,15
10123,15
10131,15
10143,15
10153,15
10159,15
10163,15
10175,15
10181,15
10191,15
10207,15
10215,15
10225,12
10227,12
10229,16
10233,16
10249,16
10251,16
10267,16
10297,16
10299,16
10303,16
10307,16
10317,16
10333,16
10345,16
10367,16
10389,16
10405,16
10427,16
10435,16
10455,16
10471,16
10475,16
10483,16
10491,16
10503,16
10519,16
10523,16
10543,16
10551,16
10565,16
10583,16
10611,16
10623,16
10635,16
10655,16
10695,16
10707,16
10749,16
10763,16
10785,16
10803,16
10823,16
10833,16
10855,16
10877,16
10893,16
10911,16
10931,16
10957,16
10959,17
10961,17
10979,17
11001,17
11025,17
11055,17
11075,17
11085,17
11105,17
11125,17
11137,17
11167,17
11173,17
11195,17
11223,17
11259,17
11267,17
11279,17
11281,17
11291,17
11321,17
11337,17
11351,17
11359,17
11365,17
11367,17
11381,17
11387,17
11389,17
11401,17
11403,17
11413,17
11415,17
11437,17
11443,17
11449,17
11461,17
11465,17
11467,17
11469,17
11479,17
11515,17
11531,17
11547,17
11561,17
11597,17
11629,17
11647,17
11649,17
11669,17
11681,17
11693,17
11727,17
11731,17
11751,17
11781,17
11787,17
11789,17
11791,17
11821,17
11847,17
11869,17
11903,17
11915,17
11961,17
11963,18
11999,18
12021,18
12049,18
12075,18
12109,18
12137,18
12149,18
12151,18
12177,18
12195,18
12219,18
12245,18
12247,18
12277,18
12301,18
12313,18
12325,18
12341,18
12377,18
12389,18
12393,18
12403,18
12419,18
12421,18
12435,18
12437,18
12449,18
12469,18
12495,18
12513,18
12531,18
12549,18
12561,18
12571,18
12609,18
12627,18
12651,18
12679,18
12685,18
