pid,voteId,result,state,lastTouched,dr_id,lastTouched_ts,voteId,bid,mid,cid,VoteDate,ayes,naes,abstain,result,lastTouched,VoteDateSeq,VoteDate_ts,lastTouched_ts
1,34966,AYE,CA,"2016-07-12 23:25:14",65,1468365914,34966,CA_201520160ACR13,147661,452,"2015-04-06 14:26:00",36,0,3,(PASS),"2016-07-12 23:23:37",1006,1428330360,1468365817
1,34967,AYE,CA,"2016-07-12 23:25:18",66,1468365918,34967,CA_201520160AJR4,147662,452,"2015-04-06 14:30:00",23,12,4,(PASS),"2016-07-12 23:23:37",1007,1428330600,1468365817
1,34968,AYE,CA,"2016-07-12 23:25:23",67,1468365923,34968,CA_201520160SB19,147638,56,"2015-04-08 00:00:00",9,0,0,(PASS),"2016-07-12 23:23:37",1,1428451200,1468365817
1,34969,AYE,CA,"2016-07-12 23:25:23",68,1468365923,34969,CA_201520160SB36,147517,56,"2015-04-08 00:00:00",9,0,0,(PASS),"2016-07-12 23:23:37",1,1428451200,1468365817
1,34970,ABS,CA,"2016-07-12 23:25:23",69,1468365923,34970,CA_201520160SB140,147504,56,"2015-04-08 00:00:00",6,1,0,(PASS),"2016-07-12 23:23:37",1,1428451200,1468365817
1,34971,AYE,CA,"2016-07-12 23:25:23",70,1468365923,34971,CA_201520160SB151,147517,56,"2015-04-08 00:00:00",9,0,0,(PASS),"2016-07-12 23:23:37",1,1428451200,1468365817
1,34972,AYE,CA,"2016-07-12 23:25:23",71,1468365923,34972,CA_201520160SB275,147517,56,"2015-04-08 00:00:00",7,0,0,(PASS),"2016-07-12 23:23:37",1,1428451200,1468365817
1,34973,AYE,CA,"2016-07-12 23:25:24",72,1468365924,34973,CA_201520160SB277,147691,56,"2015-04-08 00:00:00",6,2,0,(PASS),"2016-07-12 23:23:37",1,1428451200,1468365817
1,34974,AYE,CA,"2016-07-12 23:25:24",73,1468365924,34974,CA_201520160SB299,147622,56,"2015-04-08 00:00:00",9,0,0,(PASS),"2016-07-12 23:23:37",1,1428451200,1468365817
1,34975,AYE,CA,"2016-07-12 23:25:28",74,1468365928,34975,CA_201520160SB326,147517,56,"2015-04-08 00:00:00",8,0,0,(PASS),"2016-07-12 23:23:37",1,1428451200,1468365817
1,34976,AYE,CA,"2016-07-12 23:25:28",75,1468365928,34976,CA_201520160SB361,147504,56,"2015-04-08 00:00:00",9,0,0,(PASS),"2016-07-12 23:23:37",1,1428451200,1468365817
1,34977,AYE,CA,"2016-07-12 23:25:28",76,1468365928,34977,CA_201520160SB476,147504,56,"2015-04-08 00:00:00",9,0,0,(PASS),"2016-07-12 23:23:37",1,1428451200,1468365817
1,34978,AYE,CA,"2016-07-12 23:25:28",77,1468365928,34978,CA_201520160SB658,147638,56,"2015-04-08 00:00:00",9,0,0,(PASS),"2016-07-12 23:23:37",1,1428451200,1468365817
1,35041,AYE,CA,"2016-07-12 23:26:28",78,1468365988,35041,CA_201520160SB35,149757,452,"2015-08-17 14:44:00",38,0,2,(PASS),"2016-07-12 23:23:37",1003,1439822640,1468365817
1,35042,AYE,CA,"2016-07-12 23:26:28",79,1468365988,35042,CA_201520160SB382,149758,452,"2015-08-17 14:43:00",26,12,2,(PASS),"2016-07-12 23:23:37",1002,1439822580,1468365817
1,35045,AYE,CA,"2016-07-12 23:26:31",80,1468365991,35045,CA_201520160SB415,149759,452,"2015-08-17 14:47:00",26,12,2,(PASS),"2016-07-12 23:23:37",1004,1439822820,1468365817
1,35046,AYE,CA,"2016-07-12 23:26:31",81,1468365991,35046,CA_201520160SB633,149760,452,"2015-08-17 14:52:00",37,0,3,(PASS),"2016-07-12 23:23:37",1005,1439823120,1468365817
1,35047,AYE,CA,"2016-07-12 23:32:57",82,1468366377,35047,CA_201520160SB761,149761,452,"2015-08-17 14:50:00",38,0,2,(PASS),"2016-07-12 23:23:37",1006,1439823000,1468365817
1,35048,AYE,CA,"2016-07-12 23:32:57",83,1468366377,35048,CA_201520160SCR81,149745,452,"2015-08-17 14:53:00",38,0,2,(PASS),"2016-07-12 23:23:37",1008,1439823180,1468365817
1,35049,AYE,CA,"2016-07-12 23:32:57",84,1468366377,35049,CA_201520160SR40,149746,452,"2015-08-17 14:31:00",38,0,2,(PASS),"2016-07-12 23:23:37",1001,1439821860,1468365817
1,35050,AYE,CA,"2016-07-12 23:32:59",85,1468366379,35050,CA_201520160AB486,149762,452,"2015-08-17 14:57:00",38,0,2,(PASS),"2016-07-12 23:23:37",1007,1439823420,1468365817
1,35100,AYE,CA,"2016-07-12 23:33:01",86,1468366381,35100,CA_201520160AB1262,149763,452,"2015-08-17 15:02:00",38,0,2,(PASS),"2016-07-12 23:23:37",1010,1439823720,1468365817
1,35101,AYE,CA,"2016-07-12 23:32:57",87,1468366377,35101,CA_201520160AB272,149749,452,"2015-08-17 15:08:00",37,0,3,(PASS),"2016-07-12 23:23:37",1013,1439824080,1468365817
1,35102,AYE,CA,"2016-07-12 23:32:59",88,1468366379,35102,CA_201520160AB899,149747,452,"2015-08-17 15:00:00",32,6,2,(PASS),"2016-07-12 23:23:37",1009,1439823600,1468365817
1,35103,AYE,CA,"2016-07-12 23:33:01",89,1468366381,35103,CA_201520160AB924,149748,452,"2015-08-17 15:04:00",37,1,2,(PASS),"2016-07-12 23:23:37",1012,1439823840,1468365817
1,35104,ABS,CA,"2016-07-12 23:32:57",90,1468366377,35104,CA_201520160AB614,149750,452,"2015-08-17 15:11:00",37,0,3,(PASS),"2016-07-12 23:23:37",1014,1439824260,1468365817
1,35183,AYE,CA,"2016-07-12 23:24:57",91,1468365897,35183,CA_201520160ACR5,147521,452,"2015-03-16 12:55:00",34,0,3,(PASS),"2016-07-12 23:23:37",1004,1426510500,1468365817
1,35184,AYE,CA,"2016-07-12 23:24:57",92,1468365897,35184,CA_201520160ACR6,147522,452,"2015-03-16 12:54:00",34,0,3,(PASS),"2016-07-12 23:23:37",1003,1426510440,1468365817
