pid,cid,year
15417,349,2015
15417,486,2015
15418,342,2015
15418,346,2015
15418,354,2015
15418,355,2015
15418,358,2015
15418,486,2015
15419,333,2015
15419,339,2015
15419,357,2015
15419,363,2015
15419,486,2015
15420,323,2015
15420,487,2015
15421,328,2015
15421,338,2015
15421,339,2015
15421,341,2015
15421,346,2015
15421,375,2015
15421,406,2015
15421,486,2015
15422,327,2015
15422,330,2015
15422,332,2015
15422,347,2015
15422,350,2015
15422,386,2015
15422,486,2015
15423,300,2015
15423,301,2015
15423,303,2015
15423,304,2015
15423,305,2015
15423,308,2015
15423,310,2015
15423,311,2015
15423,317,2015
15423,323,2015
15423,324,2015
15423,487,2015
15424,328,2015
15424,329,2015
15424,335,2015
15424,338,2015
15424,341,2015
15424,418,2015
