bid,hid
TX_20170HR1720,251991
TX_20170HR1721,251991
TX_20170HR1722,251991
TX_20170HR1723,251991
TX_20170HR1724,251991
TX_20170HR1725,251991
TX_20170HR1726,251991
TX_20170HR1727,251991
TX_20170HR1728,251991
TX_20170HR1729,251991
TX_20170HR1730,251991
TX_20170HR1731,251991
TX_20170HR1732,251991
TX_20170HR1733,251991
TX_20170HR1734,251991
TX_20170HR1735,251991
TX_20170HR1736,251991
TX_20170HR1737,251991
TX_20170HR1738,251991
TX_20170HR1739,251991
TX_20170HR1740,251991
TX_20170HR1741,251991
TX_20170HR1742,251991
TX_20170HR1887,251990
TX_20170HR1888,251990
TX_20170HR1889,251990
TX_20170HR1890,251990
TX_20170HR1891,251990
TX_20170HR1892,251990
TX_20170HR1893,251990
TX_20170HR1894,251990
TX_20170HR1895,251990
TX_20170HR1896,251990
TX_20170HR1897,251990
TX_20170HR1898,251990
TX_20170HR1899,251990
TX_20170HR1900,251990
TX_20170HR1901,251990
TX_20170HR1902,251990
TX_20170HR1903,251990
TX_20170HR1904,251990
TX_20170HR1906,251990
TX_20170HR1907,251990
TX_20170HR1908,251990
TX_20170HR1909,251990
TX_20170HR1910,251990
TX_20170HR1913,251990
TX_20170HR1914,251990
TX_20170HR1915,251990
TX_20170HR1918,251990
TX_20170HR1921,251990
TX_20170HR1922,251990
TX_20170HR1923,251990
TX_20170HR1924,251990
TX_20170HR1925,251990
TX_20170HR1926,251990
TX_20170HR1927,251990
TX_20170HR1930,251990
TX_20170HR1931,251990
TX_20170HR1933,251990
TX_20170HR1934,251990
TX_20170HR1935,251990
TX_20170HR1936,251990
TX_20170HR1938,251990
TX_20170HR1939,251990
TX_20170HR1941,251990
TX_20170HR1942,251990
TX_20170HR1943,251990
TX_20170HR1944,251990
TX_20170HR1945,251990
TX_20170HR1946,251990
TX_20170HR1947,251990
TX_20170HR1948,251990
TX_20170HR1949,251990
TX_20170HR1951,251990
TX_20170HR1953,251990
TX_20170HR1954,251990
TX_20170HR1955,251990
TX_20170HR1956,251990
TX_20170HR1957,251990
TX_20170HR1958,251990
TX_20170HR1960,251990
TX_20170HR1961,251990
TX_20170HR1962,251990
TX_20170HR1963,251990
TX_20170HR1964,251990
TX_20170HR1965,251990
TX_20170HR1966,251990
TX_20170HR1967,251990
TX_20170HR1232,251991
TX_20170HR1480,251991
TX_20170HR1481,251991
TX_20170HR1482,251991
TX_20170HR1483,251991
TX_20170HR1484,251991
TX_20170HR1485,251991
TX_20170HR1486,251991
TX_20170HR2098,251988
TX_20170HR2099,251988
TX_20170HR2100,251988
TX_20170HR2101,251988
TX_20170HR2102,251988
TX_20170HR2103,251988
TX_20170HR2104,251988
TX_20170HR2105,251988
TX_20170HR2106,251988
TX_20170HR2107,251988
TX_20170HR2108,251988
TX_20170HR2110,251988
TX_20170HR2111,251988
TX_20170HR2117,251988
TX_20170HR2124,251988
