hid,date,state,type,session_year
666,2016-01-06,CA,Regular,2015
667,2016-01-06,CA,Regular,2015
668,2016-01-05,CA,Informational,2015
670,2016-01-06,CA,Informational,2015
672,2016-01-07,CA,Informational,2015
673,2016-01-07,CA,Informational,2015
675,2016-01-11,CA,Informational,2015
677,2016-01-11,CA,Regular,2015
678,2016-01-11,CA,Regular,2015
679,2016-01-12,CA,Regular,2015
680,2016-01-12,CA,Regular,2015
681,2016-01-12,CA,Regular,2015
682,2016-01-12,CA,Regular,2015
683,2016-01-12,CA,Regular,2015
684,2016-01-12,CA,Regular,2015
685,2016-01-11,CA,Informational,2015
686,2016-01-12,CA,Regular,2015
687,2016-01-12,CA,Regular,2015
688,2016-01-11,CA,Regular,2015
689,2016-01-12,CA,Regular,2015
690,2016-01-13,CA,Regular,2015
691,2016-01-13,CA,Regular,2015
692,2016-01-13,CA,Regular,2015
693,2016-01-13,CA,Informational,2015
694,2016-01-13,CA,Informational,2015
695,2016-01-13,CA,Regular,2015
696,2016-01-13,CA,Regular,2015
697,2016-01-14,CA,Regular,2015
698,2016-01-14,CA,Regular,2015
699,2016-01-15,CA,Regular,2015
700,2016-01-15,CA,Regular,2015
701,2016-01-15,CA,Regular,2015
702,2016-01-19,CA,Informational,2015
703,2016-01-19,CA,Regular,2015
704,2016-01-19,CA,Informational,2015
705,2016-01-19,CA,Regular,2015
706,2016-01-20,CA,Regular,2015
707,2016-01-19,CA,Informational,2015
708,2016-01-20,CA,Informational,2015
709,2016-01-20,CA,Informational,2015
710,2016-01-20,CA,Informational,2015
711,2016-01-20,CA,Informational,2015
712,2016-01-19,CA,Informational,2015
713,2016-01-20,CA,Informational,2015
714,2016-01-21,CA,Informational,2015
715,2016-01-21,CA,Informational,2015
716,2016-01-21,CA,Regular,2015
717,2016-01-21,CA,Regular,2015
718,2016-01-25,CA,Regular,2015
719,2016-01-25,CA,Regular,2015
720,2016-01-25,CA,Informational,2015
721,2016-01-26,CA,Regular,2015
722,2016-01-26,CA,Informational,2015
723,2016-01-26,CA,Informational,2015
724,2016-01-26,CA,Regular,2015
725,2016-01-27,CA,Informational,2015
726,2016-01-27,CA,Budget,2015
727,2016-01-27,CA,Regular,2015
728,2016-01-27,CA,Regular,2015
729,2016-01-28,CA,Regular,2015
730,2016-01-28,CA,Regular,2015
731,2016-01-28,CA,Regular,2015
732,2016-01-20,NY,Informational,2015
733,2016-02-01,CA,Regular,2015
734,2016-02-01,CA,Regular,2015
735,2016-02-02,CA,Budget,2015
736,2016-02-03,CA,Informational,2015
737,2016-02-03,CA,Informational,2015
738,2016-02-03,CA,Informational,2015
739,2016-02-03,CA,Informational,2015
740,2016-02-04,CA,Informational,2015
741,2016-02-04,CA,Regular,2015
742,2016-02-03,CA,Budget,2015
743,2016-01-25,NY,Informational,2015
744,2015-05-28,CA,Regular,2015
745,2015-05-26,CA,Regular,2015
746,2015-05-11,CA,Regular,2015
747,2015-05-22,CA,Regular,2015
748,2015-06-01,CA,Regular,2015
751,2015-05-26,CA,Regular,2015
752,2015-05-28,CA,Regular,2015
753,2015-06-01,CA,Regular,2015
754,2015-06-08,CA,Regular,2015
755,2015-06-11,CA,Regular,2015
756,2015-06-15,CA,Regular,2015
757,2015-06-18,CA,Regular,2015
758,2015-06-04,CA,Regular,2015
759,2015-06-08,CA,Regular,2015
760,2015-06-11,CA,Regular,2015
761,2015-06-15,CA,Regular,2015
762,2015-06-19,CA,Regular,2015
763,2016-02-10,CA,Informational,2015
764,2016-02-10,CA,Regular,2015
766,2016-02-10,CA,Informational,2015
767,2015-05-22,CA,Regular,2015
768,2015-06-18,CA,Regular,2015
770,2016-02-10,CA,Regular,2015
771,2015-06-19,CA,Regular,2015
772,2015-06-22,CA,Regular,2015
773,2015-06-25,CA,Regular,2015
774,2015-06-29,CA,Regular,2015
775,2015-06-22,CA,Regular,2015
776,2015-06-25,CA,Regular,2015
777,2015-06-29,CA,Regular,2015
778,2016-02-11,CA,Informational,2015
779,2016-02-11,CA,Informational,2015
781,2016-02-12,CA,Regular,2015
782,2016-02-08,CA,Regular,2015
783,2016-02-08,CA,Regular,2015
784,2015-07-06,CA,Regular,2015
785,2015-07-09,CA,Regular,2015
786,2015-07-13,CA,Regular,2015
787,2015-07-16,CA,Regular,2015
788,2016-02-16,CA,Informational,2015
789,2016-02-16,CA,Informational,2015
790,2016-02-16,CA,Informational,2015
791,2015-07-02,CA,Regular,2015
792,2015-07-02,CA,Regular,2015
793,2015-07-06,CA,Regular,2015
794,2015-07-09,CA,Regular,2015
795,2015-07-13,CA,Regular,2015
796,2015-07-16,CA,Regular,2015
797,2016-02-12,CA,Regular,2015
798,2016-02-17,CA,Informational,2015
799,2016-02-18,CA,Regular,2015
800,2016-02-17,CA,Informational,2015
801,2016-02-18,CA,Informational,2015
802,2015-08-17,CA,Regular,2015
803,2015-08-17,CA,Regular,2015
804,2015-08-20,CA,Regular,2015
805,2015-08-20,CA,Regular,2015
806,2015-08-24,CA,Regular,2015
807,2015-08-24,CA,Regular,2015
