hid,date,state,lastTouched,type,date_ts,lastTouched_ts,session_year,dr_changed,dr_changed_ts,subject
840,2016-03-02,CA,"2017-01-10 04:15:48",Budget,1456876800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
841,2016-03-02,CA,"2017-01-10 04:15:48",Budget,1456876800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
842,2016-03-02,CA,"2017-01-10 04:15:48",Informational,1456876800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
843,2016-02-29,CA,"2017-01-10 04:15:48",Regular,1456704000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
844,2016-03-01,CA,"2017-01-10 04:15:48",Informational,1456790400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
845,2016-03-02,CA,"2017-01-10 04:15:48",Informational,1456876800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
846,2016-03-01,CA,"2017-01-10 04:15:48",Regular,1456790400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
847,2016-03-02,CA,"2017-01-10 04:15:48",Budget,1456876800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
848,2016-03-03,CA,"2017-01-10 04:15:48",Budget,1456963200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
849,2016-03-03,CA,"2017-01-10 04:15:48",Budget,1456963200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
850,2016-03-03,CA,"2017-01-10 04:15:48",Regular,1456963200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
851,2016-03-03,CA,"2017-01-10 04:15:48",Regular,1456963200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
852,2016-03-07,CA,"2017-01-10 04:15:48",Informational,1457308800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
853,2016-03-07,CA,"2017-01-10 04:15:48",Regular,1457308800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
854,2016-03-07,CA,"2017-01-10 04:15:48",Regular,1457308800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
855,2016-03-07,CA,"2017-01-10 04:15:48",Regular,1457308800,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
856,2016-03-08,CA,"2017-01-10 04:15:48",Regular,1457395200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
857,2016-03-08,CA,"2017-01-10 04:15:48",Informational,1457395200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
858,2016-03-08,CA,"2017-01-10 04:15:48",Budget,1457395200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
859,2016-03-08,CA,"2017-01-10 04:15:48",Budget,1457395200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
860,2016-03-08,CA,"2017-01-10 04:15:48",Regular,1457395200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
861,2016-03-08,CA,"2017-01-10 04:15:48",Regular,1457395200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
862,2016-03-08,CA,"2017-01-10 04:15:48",Informational,1457395200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
863,2016-03-08,CA,"2017-01-10 04:15:48",Informational,1457395200,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
