pid,last,first,state
576,Armentrout,Nancy,CA
577,Jann,Mary,CA
578,Nixon,Darryl,CA
579,Medeiros,"C.W. 'Nick'",CA
580,Grigg,Bill,CA
581,Burt,Robert,CA
584,Cattolica,Stephen,CA
585,Soares,George,CA
586,Brown,Amy,CA
587,"Brown Jr.",Louis,CA
588,"Van Vleck",Stanley,CA
589,Wagoner,Monica,CA
590,Boccadoro,Michael,CA
591,Ravazzini,Taryn,CA
592,Rees,Brian,CA
593,Geis,Dan,CA
594,Hemby,William,CA
595,Hansen,Laurie,CA
596,Yocca,Joseph,CA
597,Desmond,Claudine,CA
598,Desmond,Gerald,CA
599,Chafe,Bonnie,CA
600,Teegarden,Robert,CA
601,Wanner,Linda,CA
602,Madden,Timothy,CA
603,"Desmond Jr.",Gerald,CA
604,Stuart,Susan,CA
605,Cline,Robert,CA
606,Duplissea,William,CA
607,Wayne,Alan,CA
608,Aroner,Dion,CA
610,Jeffe,Douglas,CA
611,Quimby,John,CA
612,Caves,Joseph,CA
613,Olmstead,Brooke,CA
614,Welch,Virgil,CA
615,Blonien,Rodney,CA
616,Biller,Beau,CA
617,Larson,George,CA
618,Hart,Gordon,CA
619,Cook,Gregory,CA
620,Horiuchi,Wayne,CA
621,Townsend,Christopher,CA
622,Kos-Read,Isaac,CA
623,Fitzgerald,Sean,CA
624,Massey,Christian,CA
625,Fischer,Niel,CA
626,Pawlicki,Mark,CA
627,Gonzalez,Jim,CA
628,Morales,Maria,CA
629,Harris,Robert,CA
630,Hime,Rex,CA
631,Moriyama,Cliff,CA
633,Burns,Michael,CA
634,Frank,Lisa,CA
635,Gilson,Catherine,CA
636,Jensen,Carolyn,CA
637,Kaye,Loren,CA
638,Kreutzen,Richard,CA
639,Pownall,Frederick,CA
640,Ross,Jonathan,CA
641,Manske,Nathan,CA
642,Schiele,Angela,CA
643,O'Keefe,Erin,CA
644,Lehman,Richard,CA
645,Sadler,Scott,CA
646,Kelly,Anne,CA
647,Morgan,James,CA
648,Carey,Sandra,CA
649,Gaines,William,CA
650,Hennelly,Mark,CA
651,Loper,Dennis,CA
652,Cassie,James,CA
653,Bloomstine,Todd,CA
654,Bovee,Joanne,CA
655,Wehrle,William,CA
656,Fox,Robert,CA
657,Benton,John,CA
658,Venturini,Rina,CA
659,"Mc Farland",Jan,CA
660,Klinger,Joe,CA
661,Mazzoni,Kerry,CA
662,Belleza,Lara,CA
663,Jimenez,Elizabeth,CA
664,Rosa,Kris,CA
665,Wolen,Judith,CA
666,Golden,Sherrie,CA
667,Stresak,Sandra,CA
668,Dohring,William,CA
669,"Van Etten",John,CA
670,Weiner,Peter,CA
672,Hoffman,Robert,CA
673,"Barnaby III",William,CA
674,Speer-Barish,Leesa,CA
675,Sievers,Jeffrey,CA
677,Ritts,Richard,CA
678,Galati,Scott,CA
679,Stein,Eric,CA
680,Falasco,Michael,CA
681,Helget,Charles,CA
682,Belote,Michael,CA
683,Rakich,Mark,CA
685,Gonzalez,David,CA
686,Leacox,Jeffrey,CA
687,Krause,Arthur,CA
688,Colborn,"G. Diane",CA
689,Gunning,Michael,CA
690,Paiva,Michael,CA
691,Fong,Ronald,CA
692,Livingston,Gene,CA
693,Mattesich,James,CA
694,Pollack,Randy,CA
695,Terry,Parke,CA
